k,points,eps_inf,C,lambda,sse,zero_best_ratio
100,4,0.0809934262072572,0.601536166289851,0.07328490476054313,1.2973479011640238e-05,1.1863644988186168
300,4,0.17939014963497688,1.0155557677239664,0.1460349233736158,1.2785622584438299e-05,4.244919951562799
1000,4,0.2000111001715025,1.5593975896406973,0.174360360355429,1.2360277925417368e-09,69522.26798460759
3000,4,0.2016593463325473,1.6460374483490225,0.16569872922821485,7.350822155247069e-07,128.60026939527756
10000,4,0.21275825327980716,2.2268469894932803,0.17607184036987433,1.108646223902087e-06,134.1876802768302
30000,4,0.22184585886350902,3.0850151961194663,0.18640093833083568,6.908706052221893e-07,340.6607460442457
100000,4,0.25013545309724133,6.812921088479469,0.2295242826379436,6.296784716059861e-06,105.26636267935623
