N_max,k,count,eps,mean_V,std_V,mean_blocks,max_blocks,record_N,record_blocks,record_V
1000000,100,100,0.30017816730001834,-0.30017816730001834,0.015200802982045234,65.7,81,837799,81,-0.24607793036264894
1000000,300,300,0.31484528840960313,-0.31484528840960313,0.016456218243810557,62.14333333333333,81,837799,81,-0.24607793036264894
1000000,1000,1000,0.34022319579402144,-0.34022319579402144,0.02264365332905892,57.468,81,837799,81,-0.24607793036264894
1000000,3000,3000,0.3684084096428941,-0.3684084096428941,0.02806995377853105,52.876333333333335,81,837799,81,-0.24607793036264894
1000000,10000,10000,0.4082319287219566,-0.4082319287219566,0.036175616685430186,47.5946,81,837799,81,-0.24607793036264894
1000000,30000,30000,0.45678374758988355,-0.45678374758988355,0.04713114285572574,42.4859,81,837799,81,-0.24607793036264894
1000000,100000,100000,0.5360903422355852,-0.5360903422355852,0.06876567599677463,36.2566,81,837799,81,-0.24607793036264894
10000000,100,100,0.2633179402051206,-0.2633179402051206,0.01101761807459082,87.44,104,8400511,104,-0.22355384437869275
10000000,300,300,0.2736537337361294,-0.2736537337361294,0.012695332899762405,83.23666666666666,104,8400511,104,-0.22355384437869275
10000000,1000,1000,0.2938833685864295,-0.2938833685864295,0.01821764302263007,77.594,104,8400511,104,-0.22355384437869275
10000000,3000,3000,0.3161036919345562,-0.3161036919345562,0.02146887145279833,72.133,104,8400511,104,-0.22355384437869275
10000000,10000,10000,0.3437941075162545,-0.3437941075162545,0.02512004215512048,66.207,104,8400511,104,-0.22355384437869275
10000000,30000,30000,0.3742379869221374,-0.3742379869221374,0.02992245802074286,60.77413333333333,104,8400511,104,-0.22355384437869275
10000000,100000,100000,0.4170500740599107,-0.4170500740599107,0.038087285538128665,54.57121,104,8400511,104,-0.22355384437869275
100000000,100,100,0.2395021582893952,-0.2395021582893952,0.01166614277688684,109.42,149,95592191,149,-0.17955268284072776
100000000,300,300,0.25096350434647846,-0.25096350434647846,0.012295159855351871,104.51333333333334,149,95592191,149,-0.17955268284072776
100000000,1000,1000,0.2628018502337058,-0.2628018502337058,0.012521907619738386,99.312,149,95592191,149,-0.17955268284072776
100000000,3000,3000,0.2788047774179924,-0.2788047774179924,0.015586301005312345,93.629,149,95592191,149,-0.17955268284072776
100000000,10000,10000,0.2989019532741294,-0.2989019532741294,0.018761179541907442,87.1169,149,95592191,149,-0.17955268284072776
100000000,30000,30000,0.3220122576255426,-0.3220122576255426,0.022498224857907242,80.89603333333334,149,95592191,149,-0.17955268284072776
100000000,100000,100000,0.351327762284103,-0.351327762284103,0.02623777347632241,74.11378,149,95592191,149,-0.17955268284072776
1000000000,100,100,0.21184870840858422,-0.21184870840858422,0.018435040679401205,139.34,157,670617279,157,-0.1883049346061927
1000000000,300,300,0.22779363104697603,-0.22779363104697603,0.01635163283295542,129.44333333333333,157,670617279,157,-0.1883049346061927
1000000000,1000,1000,0.24206421410105852,-0.24206421410105852,0.01407071340739848,121.683,157,670617279,157,-0.1883049346061927
1000000000,3000,3000,0.2549718422888561,-0.2549718422888561,0.013885791143310502,115.32,157,670617279,157,-0.1883049346061927
1000000000,10000,10000,0.27095575636680846,-0.27095575636680846,0.015120252869629154,108.3927,157,670617279,157,-0.1883049346061927
1000000000,30000,30000,0.2864653338368154,-0.2864653338368154,0.016393673516066666,102.29613333333333,157,670617279,157,-0.1883049346061927
1000000000,100000,100000,0.30816718638298773,-0.30816718638298773,0.01971990205417051,95.21786,157,670617279,157,-0.1883049346061927
