p,K,real_q,agreement_bits,raw_accepts,exact_candidates,match,C
89,131,3,3,1;2;3,3,True,3148470152555996411061532648106105037718435
90,134,4,4,1;2;3;4,4,True,9448132716603356740892304941177769258846953
91,138,1,1,1,1,True,28366176221293010284338570798408940942074043
92,139,1,1,1,1,True,85446977807606071839602207993236953474753073
93,140,2,2,1;2,2,True,257037831710272297491979615175731121721321107
94,142,2,2,1;2,2,True,772507291705725056422284827919233887758087097
95,144,1,1,1,1,True,2323097061416807825052238413325863753650756395
96,145,1,1,1,1,True,6991591929448954098298250958250239622458249601
97,146,1,1,1,1,True,21019377278743923541177824311296015590386709635
98,147,1,1,1,1,True,63147334817025893116099615806978640217184050569
99,148,1,1,1,1,True,189620410412665924333431133167117107543599995035
100,149,4,4,1;2;3;4,4,True,569218043161174262970557970993713696414895671761
101,153,1,1,1,1,True,1708367753329875768852203055965865836812878388595
102,154,3,3,1;2;3,3,True,5136521241531274985605075455653193471529697138777
103,157,2,2,1;2,2,True,15432399687677120314912158942470772336771215362315
104,159,1,1,1,1,True,46479886767697723809511937431501852387770637654817
105,160,1,1,1,1,True,140170411121758622887637654710863698673139879235939
106,161,1,1,1,1,True,421972735002606771581116648965307379039075570250793
107,162,1,1,1,1,True,1268841208282482120579757316561354703156538575838331
108,163,5,5,1;2;3;4;5,5,True,3812369631396769973412086689014929241548239457686897
109,168,1,1,1,1,True,11448800907288957143581889545706517988801965833404499
110,169,1,1,1,1,True,34720547141023582577805811954294922419437816231215353
111,170,1,1,1,1,True,104909930261384170027537722497235504164377286155649771
112,171,1,1,1,1,True,316226368460779354670853740760407986305259533390956737
113,172,1,1,1,1,True,951672260735591753189042368818626906540033950020885059
114,173,2,2,1;2,2,True,2861003092913282637920089399530686614868612549758684873
115,175,2,2,1;2,2,True,8594981900152862670466192784741671635102859048668114011
116,177,2,2,1;2,2,True,25832836186110647038222276698823462067296662743572579601
117,179,2,2,1;2,2,True,77690070500940177221961623474864174849842330620990689075
118,181,2,2,1;2,2,True,233836459273253476095064043938167679141336361424063868313
119,183,1,1,1,1,True,704574368901492206001908825868803655791246562516558809291
120,184,1,1,1,1,True,2125983071031403728872593253823613440842689600527145245281
121,185,1,1,1,1,True,6402469141748065408351513313905245269465968627536373370659
122,186,1,1,1,1,True,19256447282551904668522007046584545702273705534518995381609
123,187,2,2,1;2,2,True,57867421562271130892500955349491256894572715907376736684091
124,189,1,1,1,1,True,173798424116044226451372734467949010259221346329769711130801
125,190,1,1,1,1,True,522179910065056014449597677081747989079676833419867137706515
126,191,1,1,1,1,True,1568109005629014713539751978601045883843056089120717421747769
127,192,1,1,1,1,True,4707465567754737481001173830514741484737219445084384282499755
128,193,2,2,1;2,2,True,14128673804999599123767357280967432120627760690697616882012161
129,195,1,1,1,1,True,42398575618469570732829743421748711694715486782981778715062275
130,196,1,1,1,1,True,127245943669291805644599916580631796415475279192501048421289993
131,197,2,2,1;2,2,True,381838264635641603826021122372666711909083475264614569816076315
132,199,1,1,1,1,True,1145715661162457185262506112379542781052565701168066558552641617
133,200,2,2,1;2,2,True,3437950452509501050925289318184798924458958205001091072075575539
134,202,1,1,1,1,True,10315458295572762143051409916646737935979396817997056009062027993
135,203,2,2,1;2,2,True,30952802638895322390256397598309578458348279265966299198527289483
136,205,2,2,1;2,2,True,92871263421040039092973528491667464675865015421849159938264279457
137,207,2,2,1;2,2,True,278665212280536404967737928261957311230875756761348529185522482403
138,209,1,1,1,1,True,836201324911274365658483155933691602505750112267249785039486023337
139,210,1,1,1,1,True,2509426727012483699996526952392353482769741704734566145050132374523
140,211,2,2,1;2,2,True,7529925685594772306031735826359617798814207850069332015013745732593
141,213,1,1,1,1,True,22593068065898959330179517417443968097452589021939263204767934415827
142,214,2,2,1;2,2,True,67792368234155447638875792005792363096397628952742858253210592119673
143,216,1,1,1,1,True,203403432775383482213301855524298006897272610632078712037445354103403
144,217,1,1,1,1,True,610315610617819003826603484600577691124136726991636685223590373287745
145,218,2,2,1;2,2,True,1831157456436794125853206289857100414237047971165711153893279741818307
146,220,4,4,1;2;3;4,4,True,5493893618477056606306410541682035924440419493878735658124856469365065
147,224,2,2,1;2,2,True,16483365852097866733906398313489046500238360803162615760154638383735771
148,226,1,1,1,1,True,49477057502960750841513861955554159131388719553910387852945018761456529
149,227,2,2,1;2,2,True,148539012295550855083720253927010555916860707239421325848759470725366451
150,229,1,1,1,1,True,445832716459989770369518097901727824795971218873644302126127241058093081
151,230,1,1,1,1,True,1338360867673318131581983638187968102569470045242454204697777038702254155
152,231,2,2,1;2,2,True,4016808039606652035692809603529473564071522912970405210732121747162712289
153,233,1,1,1,1,True,12053874991993351388972146188519559204940794293397300825473946503600036515
154,234,2,2,1;2,2,True,36175428468673635294491308077283231665727285098136243249532164559247708137
155,236,1,1,1,1,True,108553892391408068138623663255298803098991659730297411294817143774638321595
156,237,2,2,1;2,2,True,325772105115772853436469945859692841704214196934446960069334031711495753521
157,239,3,3,1;2;3,3,True,977537171230415858350607749766671389927121026290450332577767295909648838035
158,242,2,2,1;2,2,True,2933494937223636767216614898050385629039276820819788807212362690829592823993
159,244,1,1,1,1,True,8807552199930023838968177884154128561181140398046868897469574497293948951083
160,245,1,1,1,1,True,26450926152826525666177866412474272379796660936490616595738669191102528769665
161,246,1,1,1,1,True,79409317564552485297080264757446590531896462294171869593875898971748950141827
162,247,4,4,1;2;3;4,4,True,238341030905803272488334125312387318380702345851915648394947479712129578091145
163,251,2,2,1;2,2,True,715249249141701450659189038017257048712132955494547024411482004730154189604763
164,253,1,1,1,1,True,2149366250213770483084553707333292643256813553504442340860679063690709854115537
165,254,1,1,1,1,True,6462572761795975973681607495125963918252099408596532093086969389073118703551603
166,255,1,1,1,1,True,19416666307697256969900715231630063731719615721956006420270772563221334393064793
167,256,4,4,1;2;3;4,4,True,58307894967710429007413931187394535149085482158200839542832046481667959744014347
168,260,1,1,1,1,True,175039476992368603217665364547192293355109716459268159192535597029011792361682977
169,261,1,1,1,1,True,526971104404902868779773229401715886590981469132454726602238112431161987159287907
170,262,1,1,1,1,True,1584618660070302724592873959725425672824249046906664677855976979981739181626341673
171,263,1,1,1,1,True,4761266673922096410285730422216833044575356419738595029666456225321723985175980923
172,264,2,2,1;2,2,True,14298621409188665703871408352731611185931287817252987081196419246718184836121854577
173,266,3,3,1;2;3,3,True,42925507002410750057642659230357057662204300567833365227983358881660580269553387347
174,269,2,2,1;2,2,True,128895092106611261957041714379720069404254650167797711621526481211005843853411456505
175,271,1,1,1,1,True,387633845114865880144035036648351379553897938217774062365190680161210355918244725227
176,272,1,1,1,1,True,1166695810524726017523744683981818824026229765510845897098016986596402365186775598529
177,273,3,3,1;2;3,3,True,3507675981934434806754513200018985842807761198247585111298940852014749690424409641283
178,276,2,2,1;2,2,True,10538205046523817928630097896204016269881427398172850173906602340495334261001394615241
179,278,3,3,1;2;3,3,True,31736031945335561852822760057788518741309432621959309241798045297094684300829509376859
180,281,1,1,1,1,True,95693763059063117826198145650071435950588899575640962605707088993718778973789830255121
181,282,5,5,1;2;3;4;5,5,True,290966626961640811620433360763861345665051512405027166859624891800634145491779907761715
182,287,2,2,1;2,2,True,880670556453825351144977929918878112621724164571290058663881925040858053616160557277849
183,289,1,1,1,1,True,2890673287566369374512624913830044757915400569112544034711877763569153909354748359600075
184,290,1,1,1,1,True,9666666335518681407848639237783775953947114008932327539016561244493780722089311829866337
185,291,1,1,1,1,True,30989291952195190792167446705938611222243166629986373486811539641053980154318068991731235
186,292,1,1,1,1,True,96946461747863865513745398102990400387533149096337902199958330738307216439054473979458153
187,293,2,2,1;2,2,True,298796557026148182815722310279320334604206745701771270078922415845212201269363955946903355
188,295,1,1,1,1,True,912304014643557720996139162778659270695834833930828937194862094796217707712492935857767857
189,296,1,1,1,1,True,2800569418191125853184306416098770879620362889094547319416965673430977538755083079641534739
190,297,1,1,1,1,True,8529023003094282939944697103821898773926805441887762973915655798377581447500457783061066553
191,298,1,1,1,1,True,25841698506324659580617647022516868591911849874871530953076484951302042004971790437456124331
192,299,2,2,1;2,2,True,78034354513057600263420052489652950315998416723031076921888489966244721339856205488914222337
193,301,2,2,1;2,2,True,235121581527340043833394380313163540028520984365926198890983540123411354669450284819834365699
194,303,1,1,1,1,True,709438816534689103672720032316309376407665889885110469174222901268942826607877527871869891849
195,304,2,2,1;2,2,True,2144612737414743199708307662456203154511409416804658897527757827401663530221739277265076854555
196,306,2,2,1;2,2,True,6466430787865581376505218118383159514111051744712631672593451729394660691461431219094164921681
197,308,2,2,1;2,2,True,19529662666082151239036834879207678744640449211332514937821068176942662477569147206478232197107
198,310,2,2,1;2,2,True,59110469208188082155195226733855837043150523542776024493626056485862709045446855816217646319577
199,312,3,3,1;2;3,3,True,179417332464330760217924568586498714366368274263441992201529577277727013587298224235784737871755
200,315,1,1,1,1,True,546595696752058335663129259299220956046771637330781651487194363113736586565725299855881409267361
201,316,1,1,1,1,True,1706536685128703447064232206215461371721649428315990353522428139585654126127820916755861793018851
202,317,2,2,1;2,2,True,5253109245131167221342385475281981122327617317595261858688974519245851111244752784644020509490089
203,319,3,3,1;2;3,3,True,16026326114883615424326534139117137381308190018080367172310303758715330799456838422684931789337339
204,322,1,1,1,1,True,49146971862611301314177113270436188201225922315419427901904432080057102261260835543066276411480305
205,323,1,1,1,1,True,155984863731517544272111426635986773062088585035684894785501462671460185686905068829290677582187219
206,324,1,1,1,1,True,485042487481919913475494453557316736103087391285907906516080720876958314866960330888055729442054265
207,325,1,1,1,1,True,1489303255020494301744803707970663042142905446215430163867394828356030460213371241464534581717148011
208,326,2,2,1;2,2,True,4536261350210952027871051818509414794096002883361703380240489816518402411865094221994338531933414465
209,328,4,4,1;2;3;4,4,True,13745487220931794328886436844723095717622581739515935917998080112455829298045243661184485169364184259
210,332,1,1,1,1,True,41783274343991135967752436090948692494206037576271110863100682988969976143935574964359333802348316233
211,333,1,1,1,1,True,134098825931105455600747317181316562944030790452386182335005131392549740428604228585972054115137163995
212,334,2,2,1;2,2,True,419794483591580462197221969360890659754917726804304246496421559028928845279407693143704267761595922577
213,336,1,1,1,1,True,1294379462371269577381625943716553921110403891307204138472077006789345783825413094202689014117156628915
214,337,1,1,1,1,True,4023122433499921495304717973685189530713814517498778011347480339178274343424999341694371885680945331481
215,338,1,1,1,1,True,12349335393271990012233834206126624126906649239650665225904939655155297014172518143255725343701786883915
216,339,2,2,1;2,2,True,37607942365360421089340863188521983450250359093260658061439816240706839010312594666112395404423262430689
217,341,1,1,1,1,True,113943699467170165373301310705850172489811900028399298951769443272602412966527864471027624959905590849955
218,342,1,1,1,1,True,346310587885866104541018816678687406025678991079667195925108308019734822641943915303844629866259986781417
219,343,2,2,1;2,2,True,1047890742626309530465286219158335995189523555227940185914924880463059635410552389693057399571866388807355
220,345,4,4,1;2;3;4,4,True,3161590185816351025080318195719555539793543829661697754023974554196889241201098456642219218661772023348273
221,349,1,1,1,1,True,9556442389198742809978792740136856836280524144896602047188723313821509063481060520178845735770007497749651
222,350,1,1,1,1,True,29816076475591264185741788668061613979239854929273946703434964361157988628487423964571546483865085336526265
223,351,1,1,1,1,True,91741728042763864068836186899486928878516129776990121234042481922860888761550756701784658004705381696133419
224,352,1,1,1,1,True,279812181360271735229730202489064960517141519309306925949602623447356512036829239721494011120336396461509505
225,353,2,2,1;2,2,True,848610538544775491735633891048403229314610817884593902343758225699617227614841658396762107573449692130747011
226,355,1,1,1,1,True,2564179604562247047299788240307626383470204973567127956021175387813947065853232853654846471145230081884678025
227,356,1,1,1,1,True,7765930769398423430270910989572545932516105000354768864023129006302222729594530074822780007135214267623782043
228,357,2,2,1;2,2,True,23444576219618634867555825506016971361759295160371076583988592704627431252853253252184821208804690846810842065
229,359,1,1,1,1,True,70627296481702633756153661592649581213699845799726769735804189485323819886699085811987426001212168628311518067
230,360,3,3,1;2;3,3,True,213056160736494817882405725076343412154787378673634469142766213941737564172654561657694127502828890236450521689
231,363,2,2,1;2,2,True,641517024792258286875106655825819573491737818569811727299005932796744901543078293416546081506871439412383500043
232,365,4,4,1;2;3;4,4,True,1943339415038965526448435812251773416694218916100701740862676126162492376830151747797347836507692467861405979937
233,369,1,1,1,1,True,5905171607765659242637770815852579034958678589867171458450661689576507819294122713582881877471390002081239859043
234,370,2,2,1;2,2,True,18917968625677180340592726513113877662892385234642574149154118046154014478741047663802059519587171582196070284841
235,372,1,1,1,1,True,59158813481791946247137007670453914104709854634009841995066620093311025477940502037513006333107517898492912269947
236,373,3,3,1;2;3,3,True,187096070864417459642846335535810866778260359622358004175616924099329004600690942296966330096706566303097542471537
