p,K,real_q,agreement_bits,raw_accepts,exact_candidates,match,C
24,30,1,1,1,1,True,290569031393
25,31,1,1,1,1,True,872780836003
26,32,1,1,1,1,True,2620489991657
27,33,1,1,1,1,True,7865764942267
28,34,1,1,1,1,True,23605884761393
29,35,2,2,1;2,2,True,70834834153363
30,37,1,1,1,1,True,212538862198457
31,38,1,1,1,1,True,637754025548843
32,39,1,1,1,1,True,1913536954553473
33,40,2,2,1;2,2,True,5741160619474307
34,42,2,2,1;2,2,True,17224581370050697
35,44,2,2,1;2,2,True,51678142156663195
36,46,1,1,1,1,True,155052018656034001
37,47,3,3,1;2;3,3,True,465226424712279667
38,50,1,1,1,1,True,1395820011625194329
39,51,1,1,1,1,True,4188585934782425611
40,52,4,4,1;2;3;4,4,True,12568009604160962081
41,56,2,2,1;2,2,True,37708532412110256739
42,58,1,1,1,1,True,113197654830368698153
43,59,2,2,1;2,2,True,339881194867257806203
44,61,1,1,1,1,True,1020220045354076842097
45,62,1,1,1,1,True,3062965979071444220243
46,63,1,1,1,1,True,9193509623232760048633
47,64,2,2,1;2,2,True,27589752241735134921707
48,66,2,2,1;2,2,True,82787703469279114316737
49,68,1,1,1,1,True,248436897384132181156675
50,69,2,2,1;2,2,True,745605840057575896295881
51,71,1,1,1,1,True,2237407815983086394539355
52,72,1,1,1,1,True,6714584631190694006224913
53,73,2,2,1;2,2,True,20148476260054951663888435
54,75,1,1,1,1,True,60454873513130594282092697
55,76,2,2,1;2,2,True,181402399471254740007987659
56,78,3,3,1;2;3,3,True,544282756277490134347382113
57,81,2,2,1;2,2,True,1633150500287374060335822883
58,83,1,1,1,1,True,4901869352501351439356881001
59,84,2,2,1;2,2,True,14715279464060971351468292411
60,86,1,1,1,1,True,44165181205296748121200176049
61,87,1,1,1,1,True,132572914868345580630781723411
62,88,2,2,1;2,2,True,397873487109947414426707560761
63,90,1,1,1,1,True,1193929946339663588348847463339
64,91,2,2,1;2,2,True,3583027779058276145321441514241
65,93,3,3,1;2;3,3,True,10751559217253399196514122791171
66,96,4,4,1;2;3;4,4,True,32264581172074480631741561367305
67,100,2,2,1;2,2,True,96872971678737706232818228052251
68,102,1,1,1,1,True,291886565636441348099951387362129
69,103,1,1,1,1,True,880730299310236961905840974907891
70,104,2,2,1;2,2,True,2652332102732536720929496550366681
71,106,1,1,1,1,True,7977278717801261833212436902386059
72,107,1,1,1,1,True,24012965791818392181333099712302241
73,108,1,1,1,1,True,72201156652284389907390877147194851
74,109,2,2,1;2,2,True,216927988510511596448955787462160809
75,111,2,2,1;2,2,True,651433002638851642800433674427634939
76,113,1,1,1,1,True,1956895156345822342215566271447514865
77,114,1,1,1,1,True,5881070062754536681903759807000984787
78,115,1,1,1,1,True,17663979375697749356225401406319834745
79,116,2,2,1;2,2,True,53033476501961526689704448189593265003
80,118,2,2,1;2,2,True,159183506255621137311169832510047316545
81,120,1,1,1,1,True,477882825765809640901735449295212035779
82,121,1,1,1,1,True,1434977705293213838578110154945916451913
83,122,1,1,1,1,True,4307591571871211347480138078958310044891
84,123,2,2,1;2,2,True,12928091627596773705932029465116051512977
85,125,2,2,1;2,2,True,38794908706756600444779318851830397295539
86,127,2,2,1;2,2,True,116427261416134918642270878381420162913049
87,129,1,1,1,1,True,349451925431865225158544322447976372844875
88,130,1,1,1,1,True,1049036341029437552402559716558792654957537
