p,K,real_q,agreement_bits,raw_accepts,exact_candidates,match,C
79,119,1,1,1,1,True,83188328247980998587127197925630539547
80,120,1,1,1,1,True,250229598741835453697833497307031790929
81,121,2,2,1;2,2,True,752018024221291276966404298981375717363
82,123,1,1,1,1,True,2258712528655443662645020511064687841241
83,124,3,3,1;2;3,3,True,6786771409932610314918291989676306280331
84,127,1,1,1,1,True,20381581877730389598721336881993404354209
85,128,1,1,1,1,True,61314886816651638027895697949696097168355
86,129,1,1,1,1,True,184284942816875852547150468456520059716521
87,130,1,1,1,1,True,553535393184469434568378154584423715572475
88,131,1,1,1,1,True,1661967309021092057558987962182998219563249
89,132,1,1,1,1,True,4988624185998643680384670883408448804381395
90,133,1,1,1,1,True,14971317075866666056569426643944254704527481
91,134,3,3,1;2;3,3,True,44924840263341468200539107919270580696349035
92,137,1,1,1,1,True,134796298861507344663278979732687375254580289
93,138,1,1,1,1,True,404563121156385554483130186997067191088006339
94,139,2,2,1;2,2,True,1214037812612883704435977056589211703912549961
95,141,1,1,1,1,True,3642810336126105195281104160963655373034711771
96,142,1,1,1,1,True,10931218601528131913736004447675047164292382865
97,143,1,1,1,1,True,32799230990884028396993397272593303583253643699
98,144,1,1,1,1,True,98408843345251350502550959676916234930513921305
99,145,4,4,1;2;3;4,4,True,295248830780952582130794414749021353153047744331
100,149,4,4,1;2;3;4,4,True,885791093833254807638666315683609356182155193825
101,153,1,1,1,1,True,2658086905346117402856528090035552816114656954787
102,154,1,1,1,1,True,7985678697579999887618050557862254409435032837353
103,155,2,2,1;2,2,True,23979872055823295020951084249097955150487222458043
104,157,2,2,1;2,2,True,71985288093636475779047117898316249295825915266097
105,159,1,1,1,1,True,216138551985575790201916814299038283264934737366163
106,160,1,1,1,1,True,649146406775392822064852285313472991304632178369977
107,161,1,1,1,1,True,1948900721963509369112760540773135256933552467652907
108,162,2,2,1;2,2,True,5849625169165189913174688991984838336839969268044673
109,164,1,1,1,1,True,17554721514044893351196881715285380142598531534305923
110,165,5,5,1;2;3;4;5,5,True,52687548568331974500281904103179600956110089523605385
111,170,3,3,1;2;3,3,True,158109413757390512394228230224185723924959258412191387
112,173,1,1,1,1,True,475824818948798381770925263941258645587005450160581585
113,174,1,1,1,1,True,1439447078259409902018700377973387727258037749873804147
114,175,1,1,1,1,True,4342286477604259219467950306219386762768156048405531225
115,176,2,2,1;2,2,True,13074749918464836685227549263256607450292553742784831243
116,178,2,2,1;2,2,True,39320030726698628109330044478966716674853832423490968865
117,180,2,2,1;2,2,True,118343216065312356542579720193687727320466182051018807139
118,182,1,1,1,1,True,356562143736802958486097507608213491145017285275240023593
119,183,1,1,1,1,True,1075816413373872430891725910933241710169526812314454479483
120,184,2,2,1;2,2,True,3239709204448544403542044509016927603977530349920832255857
121,186,1,1,1,1,True,9743647541999487432359867079485187758870490875717434402387
122,187,1,1,1,1,True,29329022340613879184014535448193183064363071930972053746425
123,188,2,2,1;2,2,True,88183226451072471325913474764054788768592414400555662317803
124,190,3,3,1;2;3,3,True,264941998211679081525480161131114845456783640416945989110465
125,193,1,1,1,1,True,796395270068883914767399430749146452974376510111953975959619
126,194,1,1,1,1,True,2401740013677425105829869871093854691755334241224789996904649
127,195,4,4,1;2;3;4,4,True,7230328447973822040544952770974394740930412145452226128765531
128,199,1,1,1,1,True,21741202157804559567745544628308845554120055279912390662399761
129,200,1,1,1,1,True,66027075495543173841007614931097117963621267336628568404849971
130,201,2,2,1;2,2,True,199688164530888511798564806885632516493386005003668498049851289
131,203,1,1,1,1,True,602278369681183515946778344841579874685202420998571079820156619
132,204,2,2,1;2,2,True,1819690613397622470044670731263468924875784886945975582142880865
133,206,1,1,1,1,True,5484782848901011254542683587267865376267709908738451431793464611
134,207,2,2,1;2,2,True,16557192581535609141262736335713430535364550717817453036839681897
135,209,2,2,1;2,2,True,49877265814271978179057580154959960419216494136656556593437621819
136,211,2,2,1;2,2,True,150454549721476537558250225056158556510140850342786459711987169969
137,213,2,2,1;2,2,True,454654658279072024759060613533590370540388022759626538862658727955
138,215,3,3,1;2;3,3,True,1377128011295785722614421594061229915661025955203948255494765056057
139,218,1,1,1,1,True,4184040179721635761192223796025524963142525413312119322111450656939
140,219,1,1,1,1,True,12973369705839136030368343498811256618703156621538554411351595880961
141,220,3,3,1;2;3,3,True,39762607450865865584688374717903133314660630627820056124089275463171
142,223,3,3,1;2;3,3,True,120972819019294511741231812596648126861084213409868954152336802030089
143,226,1,1,1,1,True,376398430391458855121028945333454195920071212440877148697562211214875
144,227,1,1,1,1,True,1237035077842979124541754896348441110454762215012793736017101074641489
145,228,1,1,1,1,True,3926784806866142491982600809741480376753383800418705787900132105918195
146,229,1,1,1,1,True,12211713567272837712662474670616755221038345712016766523398054081742041
147,230,1,1,1,1,True,37497858995167333611416768494634893844671425757571597889589477773201035
148,231,1,1,1,1,True,114219013572199641781108994449473937897127054515757390307559064375552929
149,232,1,1,1,1,True,346107913889994207237044361279560326417606718033357364200258455238558435
150,233,1,1,1,1,True,1045225488016773185498567839700958004705271263072242479155937889939474601
151,234,1,1,1,1,True,3149479956743900684070573030827428065020716007161068210578138718266022395
152,235,2,2,1;2,2,True,9476046855618864307361458115931392296871952457371886177955066251693264369
153,237,2,2,1;2,2,True,28483354537630917432383852394692393094235466243893021626306498948870187475
154,239,2,2,1;2,2,True,85670919495990050338349469371670044097184834218788517248684697621772139897
155,241,1,1,1,1,True,257896182020359343179840056865381591549468244604803361225114895965962729579
156,242,3,3,1;2;3,3,True,777222240190634798198686765597630611680059701608161321591587900300473428289
157,245,1,1,1,1,True,2338734108831017931914393486795863509103489040411986440607250125706590763971
158,246,1,1,1,1,True,7072741432565962094289845980411363919816946605935979128481641775561136124745
159,247,4,4,1;2;3;4,4,True,21331302509843702879962868981281638544463798787207976998764708123566136039899
160,251,1,1,1,1,True,64220063953822741834075269023940009203417314300424010222933689964463863451025
161,252,1,1,1,1,True,196278694650134356609212400353341524730666629922073298295034119393638875654323
162,253,1,1,1,1,True,596073089527735332041610387623067568432829263807822430137568457181411197565465
163,254,1,1,1,1,True,1802693279737870520552777535995288693780146539506672360917637569545222733901387
164,255,1,1,1,1,True,5437027861522940610514225354238038058303757114686427223762777104637646484114145
165,256,1,1,1,1,True,16368979629187479929254461555218458128837906336392101953308060105916896017162403
166,257,1,1,1,1,True,49222730976799755983186955650664062294366988993841946423963637901758601181127145
167,258,2,2,1;2,2,True,147899777108873900340408008922009562698807506950857120399969828873291629802661307
168,260,1,1,1,1,True,444162499683570965802918310706063439727835600791233923456067316955906541926543665
169,261,2,2,1;2,2,True,1334340172478509956535532067878329325709159122128352019392833272211846235853869971
170,263,2,2,1;2,2,True,4006725864291123987860150475155265990178782005894356556227762459323791927710087865
171,265,2,2,1;2,2,True,12034998980295748436594668511546910022741564575720271660880337948724388663724175403
172,267,2,2,1;2,2,True,36164282490576751201840873878965178277045567959309622951429216129185217513548173441
173,269,2,2,1;2,2,True,108729989670488277173750095014193327666420200806524100729440457519603858630147109251
174,271,1,1,1,1,True,327138537806496925794160178551771154340394590133953229688932609087004400248451683465
175,272,2,2,1;2,2,True,985209888599619154474120109692078148385719721259383399069242773373784498177396473243
176,274,4,4,1;2;3;4,4,True,2963218216159114217605639477149763815886231065493197617212618212346896089396272265425
177,278,1,1,1,1,True,8920008849918369669550035023743408930574980803339782531657414205942858647645148179059
178,279,1,1,1,1,True,27245693772811541276379970547936106518385544119782382475285195720263302014236746661721
179,280,2,2,1;2,2,True,82708415764547488364599642597220079008477835778873217186481493365659358185312844234251
180,282,4,4,1;2;3;4,4,True,250067916185868194164718389698483755932075914175671791080696292506716978841143741200929
181,286,1,1,1,1,True,757974424126507498777833016722745343422797369883223931327096127159106553664252057595491
182,287,1,1,1,1,True,2398254081481969156872344612204941240293506147349008723341404375700609535245889516669737
183,288,1,1,1,1,True,7443423862650800791694724960688234140930746517445700028744445115548408354243935237775739
184,289,1,1,1,1,True,22827594824362189017239557130211523262892695703134447803673799323538384559744339088860273
185,290,1,1,1,1,True,69477430945906140336029435886928211468878999410998038845902325924401472673258084017646931
186,291,1,1,1,1,True,210421585783357567576709836653371917767038822836183507407468833680777056007824385555073017
187,292,3,3,1;2;3,3,True,635243343241350995867372567945290320021920117714929303961930212857476443999573423669483499
188,295,1,1,1,1,True,1913687201506609573876603819806220093507367651557545475364838062202719883950920805016979393
189,296,1,1,1,1,True,5804718978780281411825700387181453348054961341974696933926893575650484067470366687119169347
190,297,2,2,1;2,2,True,17541471684861749615868879017069946179230600800528211817445439505036101033646308605493970377
191,299,2,2,1;2,2,True,52879044551627059608390192762261010807823235950792877483665836071277600763409342904754835803
192,301,1,1,1,1,True,159655651643048421868304801130987721503995442049211600576315578438509992940109697067356206097
193,302,1,1,1,1,True,483041026881814237777451294769781920834089262934966674230219016214238741419855764614435413043
194,303,1,1,1,1,True,1457271224550780657677427667062983275146473662379563767693201610440133749458620640668039828633
195,304,1,1,1,1,True,4388109961463017861722430566696224850727832734288018793084693954915236298773968615653586664907
196,305,2,2,1;2,2,True,13196922460010405362547586831103224602760321697162711359264260111935378997118119234259694352737
197,307,4,4,1;2;3;4,4,True,39655952531273919642403350755338773909434612080085444037813136830185477192946784477376951774243
198,311,2,2,1;2,2,True,119228598198792573146252413314132722132918424194645571953520836468073792385210060530522330186857
199,313,1,1,1,1,True,361857644275910746943435016712260572872588679854164553301865325044499150057545495165830588386619
200,314,1,1,1,1,True,1102260331545864350849016157216231344513099668643405009670807237694608541780297739794546156464049
201,315,1,1,1,1,True,3340155792073857272584470685807593285329966264092037728542844238206047808556215727977747252000531
202,316,1,1,1,1,True,10087216971094100257828256485740578359571233308599758584689377764862587792099292201121459321218361
203,317,3,3,1;2;3,3,True,30395150103027357653634458313857332085876368958446566552189823395076652109159166637740813094088619
204,320,1,1,1,1,True,91452448688572186721202752654843190271954444940634281252812850386207733793200079981975309543132929
205,321,1,1,1,1,True,276493333101637470246003279670699122930466039344259496528385592766445421105380880495948890716335363
206,322,1,1,1,1,True,833751973376754230902799882424436473020603527077491795125050861514980702767703922587892596322879241
207,323,1,1,1,1,True,2509799868273946333037979734097987627520221399321901996454940750976230987206234329963769637316384027
208,324,2,2,1;2,2,True,7546487501109206279773099375943319299477485834144559211524398585791270719424948114291492608644644689
209,326,1,1,1,1,True,22673638295902353400637618475128670732266100774791384078892348423098967673887334591674845219324919283
210,327,3,3,1;2;3,3,True,68157618058005998447186136814580863532132875413804978013953655932197525084111964770226005231538698713
211,330,1,1,1,1,True,204746260514615871832104973222132293267067772420276585596414189122393819377235816301080954841743977867
212,331,2,2,1;2,2,True,616426032268630627420687421893514501166556486691722969225668337973591411130906824826466377702254987425
213,333,1,1,1,1,True,1853652598255457906110807270134778746230375798936955332549856555133594139391119226325846159460811069923
214,334,2,2,1;2,2,True,5578455800564637813727401828221277209613952752258011697140975830252062042166952686363326583798617640361
215,336,1,1,1,1,True,16770363413290441631972165520297713570687508967668326490405739820458745374488048073861555962228221782267
216,337,1,1,1,1,True,50451074286257437659076336703428668479445129746582145067148468780186473115412904280670972730014140791537
217,338,1,1,1,1,True,151633190951544538503548690395357060973100594926900766393307904978179893330136232960185527876701373264083
218,339,1,1,1,1,True,455459509040178066563285431756213293988832196155010961563648712209780627958203739116901803003422021571193
219,340,3,3,1;2;3,3,True,1367498399491623101795135016408924104105557411213650209458396131179823779810201297823395847756901868271467
220,343,2,2,1;2,2,True,4104734943217047109595962491507340756594793879138185277910088382640435131301784054415568420763977211930177
221,345,1,1,1,1,True,12332122787588563762472347012766569824009354801392433030009465060729015728874793450809752282238104492716739
222,346,7,7,1;2;3;4;5;6;7,7,True,37068040194515381022154879191277899688927957060088807875145194833417888526502145502681444926499004905855049
223,353,1,1,1,1,True,111347464247045522535940313879790079500583656492089441195669183802715348259261966808548710939066397572974811
224,354,1,1,1,1,True,352390381669057139700707508801786934028123489389614572576908262123241427786493778890206281242080198211361425
225,355,2,2,1;2,2,True,1093867122863012563287895660730194193137115507995536215710526207799915049376897093599739140576002605618958259
226,357,1,1,1,1,True,3354993324300719978235233250840249361516836603639993643091181466260126680165522794657458015427531838826622745
227,358,2,2,1;2,2,True,10358547795748889088191884827119415212972470129533520913111955770221906168635894439405336421080691604358860107
228,360,1,1,1,1,True,31662779032940125571548024630555579895761331025827642707012690053548770762186335429081934012838266988834564065
229,361,1,1,1,1,True,97336879681594209942533554488456076714659675626391247991745361132178521311673614730709501036899569669535627171
230,362,1,1,1,1,True,296707724210330296283379624658946904198730391976990383716650665339599981985250061079055901107468246414670751465
231,363,2,2,1;2,2,True,899517342962086221761696796363998060705693906126604430632781159904928782056208617011022499315943814056139994299
232,365,1,1,1,1,True,2717340369548449331108206233866308878336087178771079850864001807487044018369542718580777089934909591792675462705
233,366,2,2,1;2,2,True,8227174471294110656617082080696185419884283377878305788454638733550162743912295625933169637753041373875048307347
234,368,1,1,1,1,True,24831830139179857296436173000283073829404893816765049837089182822828549609344221818181185649155749318619188760505
235,369,1,1,1,1,True,75096717318729673195648226033627291767222856182815679398168614957197894338462005216070263891053748743833741635371
236,370,1,1,1,1,True,226492605758569222199624092166438015859684918013488097968307977849018174036244695171264205560334247807453575613825
237,371,2,2,1;2,2,True,681882724880468071824231104630426328695087452970546413452528199501903504150451444559899444455348746574265428256899
238,373,1,1,1,1,True,2050457989850925025923410970153503548317327756771803479452793130415408476534789051771911988914738246026605687601545
239,374,1,1,1,1,True,6170613230390858319573103535509408893880244861756067394739213518885017285938106027684590588938982763295054674128027
240,375,2,2,1;2,2,True,18550318212848741442325051856626023179497257768149516096979308811932635570481795827791481011206484340315639245030865
241,377,2,2,1;2,2,True,55727911681898557294186638070073662534204819670211176116461262946353074136780342972849861522398525121807868180386163
242,379,4,4,1;2;3;4,4,True,167491563219105003751405844211003359585466644473684039651477134881279892111680850876451258522311863768867406322332761
243,383,3,3,1;2;3,3,True,503706002350952338729601252636139566687808675273254164162804788812722355140401840460960471387400744920377426091695371
244,386,1,1,1,1,True,1530819010151054255794943277958490506965965895454995215822388513140289926306954126688588547289644692581535592270239521
245,387,1,1,1,1,True,4750065055238740684233945994276045976118216643446847434138958713037852666006851222511422706888473740307833288771945827
246,388,2,2,1;2,2,True,14565411215287377886400070303629286838795287844504265875760462486347523772192531352425582250704500546049952890238292009
247,390,3,3,1;2;3,3,True,44326665745004445326596675552490158337267139361840244773968560153510502864921549427059375012191660288402764718559785083
248,393,2,2,1;2,2,True,135501725631582582649375885223879666295326521398830522908654371238403234788140469760308638076887615466219918347058991473
