p,K,real_q,agreement_bits,raw_accepts,exact_candidates,match,C
21,29,1,1,1,1,True,14081135843
22,30,1,1,1,1,True,42780278441
23,31,1,1,1,1,True,129414577147
24,32,1,1,1,1,True,390391215089
25,33,1,1,1,1,True,1175468612563
26,34,2,2,1;2,2,True,3534995772281
27,36,1,1,1,1,True,10622167186027
28,37,1,1,1,1,True,31935221034817
29,38,2,2,1;2,2,True,95943102057923
30,40,1,1,1,1,True,288104184080713
31,41,3,3,1;2;3,3,True,865412063869915
32,44,1,1,1,1,True,2598435214865297
33,45,1,1,1,1,True,7812897830640307
34,46,2,2,1;2,2,True,23473877864009753
35,48,4,4,1;2;3;4,4,True,70492002336206923
36,52,1,1,1,1,True,211757481985331425
37,53,1,1,1,1,True,639776045583364771
38,54,1,1,1,1,True,1928335336004835305
39,55,1,1,1,1,True,5803020406523987899
40,56,2,2,1;2,2,True,17445090016590927665
41,58,1,1,1,1,True,52407327643810710931
42,59,1,1,1,1,True,157510213307583844537
43,60,1,1,1,1,True,473107100675054957099
44,61,1,1,1,1,True,1420474223529771718273
45,62,1,1,1,1,True,4263728513598528848771
46,63,1,1,1,1,True,12795797226814013934217
47,64,3,3,1;2;3,3,True,38396615052478896578459
48,67,4,4,1;2;3;4,4,True,115208291901510399286993
49,71,3,3,1;2;3,3,True,345772449657120874273907
50,74,1,1,1,1,True,1039678532212797445428569
51,75,2,2,1;2,2,True,3137925062569870917140491
52,77,1,1,1,1,True,9451554119572569913131041
53,78,1,1,1,1,True,28505778086169538386231395
54,79,1,1,1,1,True,85819565713412272452370729
55,80,1,1,1,1,True,258063160050044131944465275
56,81,1,1,1,1,True,775398405969747025008102001
57,82,4,4,1;2;3;4,4,True,2328613069548470333373718355
58,86,3,3,1;2;3,3,True,6990674911923869516819979769
59,89,1,1,1,1,True,21049395988226944817641134571
60,90,2,2,1;2,2,True,63767157984323524590372965825
61,92,1,1,1,1,True,192539413992255954046018021699
62,93,2,2,1;2,2,True,582570002133909383237650561993
63,95,2,2,1;2,2,True,1757613526716011191912144679771
64,97,2,2,1;2,2,True,5312454661405165744533206014481
65,99,1,1,1,1,True,16095820309244025908786705944115
66,100,1,1,1,1,True,48921286227846192427108469435033
67,101,1,1,1,1,True,148031509283766806682822111510475
68,102,1,1,1,1,True,446629829051756878851459740942177
69,103,1,1,1,1,True,1344960089556183554160366035648035
70,104,1,1,1,1,True,4045021473470376497693071732587113
71,105,4,4,1;2;3;4,4,True,12155346830014781163503162449047355
72,109,1,1,1,1,True,36506605309251646831357381849714097
73,110,2,2,1;2,2,True,110168853035071793947638457590294803
74,112,2,2,1;2,2,True,331804633319849088750047996853189433
75,114,2,2,1;2,2,True,1000606196818082093878674486888788395
76,116,1,1,1,1,True,3022587777888385592150145445983245569
77,117,1,1,1,1,True,9150840083401714018506924279217258243
78,118,1,1,1,1,True,27618673749678256539633748720186817801
